"white","color white"
"red","color red"
"purple","color purple"
"pink","color pink"
"color gradient","color color gradient"
"coral","color coral"
"peach","color peach"
"rainbow colors","color rainbow colors"
"skin shade","color skin shade"
"ultramarine","color ultramarine"
"orange","color orange"
"magenta","color magenta"
"green","color green"
"cyan","color cyan"
"cream","color cream"
"brown","color brown"
"blue","color blue"
"black","color black"
"beige","color beige"
"amber","color amber"
"copper","color copper"
"dark","color dark"
"desaturated","color desaturated"
"gold","color gold"
"grey","color grey"
"lavender","color lavender"
"light","color light"
"mid-tones","color mid-tones"
"pastels","color pastels"
"primary colors","color primary colors"
"rust","color rust"
"saturated","color saturated"
"sepia","color sepia"
"silver","color silver"
"color change","color change"
"color fluctuation","color fluctuation"
"bronze","color bronze"
"apricot","color apricot"
"mustard","color mustard"
"yellow","color yellow"