"cable","cable"
"asphalt","asphalt"
"abstract","abstract"
"glass","glass"
"rain","rain"
"water","water"
"stucco","stucco"
"space","space"
"snow","snow"
"sand","sand"
"plaster","plaster"
"mud","mud"
"mountains","mountains"
"insects","insects"
"human crowd","human crowd"
"haze","haze"
"fog","fog"
"bricks","bricks"
"cardboard","cardboard"
"carpet","carpet"
"concrete","concrete"
"curtain","curtain"
"lawn","lawn"
"paint","paint"
"plastic","plastic"
"sky","sky"
"stone","stone"
"tiles","tiles"
"trees","trees"
"wallpaper","wallpaper"
"grass","grass"
"foam","foam"
"corpses","corpses"
"dust","dust"
"clouds","clouds"
"clay","clay"
"fabric","fabric"
"metal","metal"
"wood","wood"
"fire","fire"
"earth","earth"
"spider web","spider web"
"smoke","smoke"
"plants","plants"
"underwater","underwater"
"studio","studio"
"stage","stage"
"rainbow","rainbow"
"picture","picture"
"pasture","pasture"
"mural","mural"
"indetermined","indetermined"
"bones","bones"
"steam","steam"